Postal Code,City,State,Country,Region
42420,Henderson,Kentucky,United States,South
90036,Los Angeles,California,United States,West
33311,Fort Lauderdale,Florida,United States,South
90032,Los Angeles,California,United States,West
28027,Concord,North Carolina,United States,South
98103,Seattle,Washington,United States,West
76106,Fort Worth,Texas,United States,Central
53711,Madison,Wisconsin,United States,Central
84084,West Jordan,Utah,United States,West
94109,San Francisco,California,United States,West
68025,Fremont,Nebraska,United States,Central
19140,Philadelphia,Pennsylvania,United States,East
84057,Orem,Utah,United States,West
90049,Los Angeles,California,United States,West
77095,Houston,Texas,United States,Central
75080,Richardson,Texas,United States,Central
77041,Houston,Texas,United States,Central
60540,Naperville,Illinois,United States,Central
32935,Melbourne,Florida,United States,South
55122,Eagan,Minnesota,United States,Central
48185,Westland,Michigan,United States,Central
19901,Dover,Delaware,United States,East
47150,New Albany,Indiana,United States,Central
10024,New York City,New York,United States,East
12180,Troy,New York,United States,East
90004,Los Angeles,California,United States,West
60610,Chicago,Illinois,United States,Central
85234,Gilbert,Arizona,United States,West
22153,Springfield,Virginia,United States,South
10009,New York City,New York,United States,East
49201,Jackson,Michigan,United States,Central
38109,Memphis,Tennessee,United States,South
77070,Houston,Texas,United States,Central
35601,Decatur,Alabama,United States,South
94122,San Francisco,California,United States,West
27707,Durham,North Carolina,United States,South
60623,Chicago,Illinois,United States,Central
29203,Columbia,South Carolina,United States,South
55901,Rochester,Minnesota,United States,Central
55407,Minneapolis,Minnesota,United States,Central
97206,Portland,Oregon,United States,West
55106,Saint Paul,Minnesota,United States,Central
80013,Aurora,Colorado,United States,West
28205,Charlotte,North Carolina,United States,South
60462,Orland Park,Illinois,United States,Central
10035,New York City,New York,United States,East
50322,Urbandale,Iowa,United States,Central
43229,Columbus,Ohio,United States,East
37620,Bristol,Tennessee,United States,South
19805,Wilmington,Delaware,United States,East
61701,Bloomington,Illinois,United States,Central
85023,Phoenix,Arizona,United States,West
95661,Roseville,California,United States,West
64055,Independence,Missouri,United States,Central
91104,Pasadena,California,United States,West
43055,Newark,Ohio,United States,East
53132,Franklin,Wisconsin,United States,Central
85254,Scottsdale,Arizona,United States,West
95123,San Jose,California,United States,West
98105,Seattle,Washington,United States,West
98115,Seattle,Washington,United States,West
73034,Edmond,Oklahoma,United States,Central
90045,Los Angeles,California,United States,West
19134,Philadelphia,Pennsylvania,United States,East
88220,Carlsbad,New Mexico,United States,West
